event_id,student_id,event_date,course_category,completion_pct,time_spent_minutes,status
EVT-10467,7520,May 26 2024,Security,,226,in_progress
EVT-10468,2350,October 01 2024,Security,61.6,152,completed
EVT-10469,2294,April 14 2024,Engineering,53.64,210,completed
EVT-10470,2083,12/23/2024,Business,73.0,443,completed
EVT-10471,5005,2024-08-10,Data,45.34,321,completed
EVT-10472,3877,2024-01-07,Engineering,70.15,93,completed
EVT-10473,6680,September 21 2024,Design,16.7,74,in_progress
EVT-10474,5403,March 01 2024,Data,33.5,229,completed
EVT-10475,2046,12/30/2024,Security,62.75,264,completed
EVT-10476,6900,2024-09-12,Security,16.69,90,completed
EVT-10477,2685,December 11 2024,Data,22.84,270,completed
EVT-10478,1201,2024-01-24,Business,36.4,86,completed
EVT-10479,1579,December 31 2024,Business,22.45,137,completed
EVT-10480,6241,02/09/2024,Security,37.28,267,completed
EVT-10481,1862,2024-04-24,Security,98.14,215,completed
EVT-10482,8620,06/08/2024,Design,8.64,243,completed
EVT-10483,4287,10/15/2024,Design,73.96,134,completed
EVT-10484,9083,2024-10-06,Engineering,15.06,219,completed
EVT-10485,9872,11/21/2024,Data,,10,in_progress
EVT-10486,7164,June 06 2024,Data,20.52,131,completed
EVT-10487,1981,2024-12-30,Design,9.3,128,in_progress
EVT-10488,9515,12/24/2024,Design,45.85,392,completed
EVT-10489,2565,March 09 2024,Business,7.48,300,completed
EVT-10452,2490,February 18 2024,Data,21.34,49,completed
EVT-10084,4381,07/18/2024,Security,94.61,20,in_progress
EVT-10434,7001,January 22 2024,Business,,227,completed
EVT-10473,6672,September 21 2024,Design,16.7,74,in_progress
EVT-10428,3828,March 26 2024,Business,28.88,105,completed
EVT-10312,6313,September 01 2024,Security,37.68,98,completed
EVT-10030,4500,March 08 2024,Security,57.62,134,in_progress
EVT-10220,6285,June 10 2024,Engineering,43.98,250,completed
EVT-10483,4273,10/15/2024,Design,73.96,134,completed
EVT-10231,6064,July 11 2024,Design,81.32,353,in_progress
